index;count;date;enddate;entity_text;entity_type;levenshtein;match_type;newspaper;party;politician;relevance;response_id;role;search_term;sentiment;sentiment_id;startdate;url;datetimedelta;sentimentcategory
2018-04-26;2;2018-04-26;2018-04-27;CDU;Organization;-1;2;www.faz.net;CDU;CDU;0.136714;40dbe540-f990-43f2-a521-16052a2d0e29;party name;CSU;-0.718984;87276350-9153-4e65-b700-db3879e41280;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;FDP;Organization;-1;2;www.faz.net;FDP;FDP;0.111288;40dbe540-f990-43f2-a521-16052a2d0e29;party name;CSU;-0.622967;b5050d74-b178-4644-8eb0-c8e35ead8db0;2018-04-26;http://www.faz.net/aktuell/politik/markus-soeders-kruzifix-erlass-erreicht-den-bundestag-15563356.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;Anna-Lena Scholz;Person;8;4;www.zeit.de;SPD;Olaf Scholz;0.174348;049000b8-7b5a-45ca-911d-0007ee289514;deputy chairperson;Junge Liberale;-0.695006;5f9ee320-dc24-4af9-b263-d826b46684a0;2018-04-26;https://www.zeit.de/thema/oxford;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;FDP;Organization;-1;2;www.welt.de;FDP;FDP;0.188575;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;058235d0-5f83-4719-8dce-78a0e2af3843;2018-04-24;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175871481/Der-Bundestag-will-die-NPD-finanziell-austrocknen.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.welt.de;SPD;SPD;0.194979;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;ee00013b-9bf8-41aa-9793-8fcc119f3a06;2018-04-24;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175871481/Der-Bundestag-will-die-NPD-finanziell-austrocknen.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CDU;Organization;-1;2;www.welt.de;CDU;CDU;0.205032;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;f9aaad26-1dd6-4c3a-af76-a2b0487c1cda;2018-04-24;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175871481/Der-Bundestag-will-die-NPD-finanziell-austrocknen.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CSU;Organization;-1;2;www.welt.de;CSU;CSU;0.224322;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;52dcfae0-7169-49d6-a4c7-83dd59be4371;2018-04-24;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175871481/Der-Bundestag-will-die-NPD-finanziell-austrocknen.html;478.0;neutral
2018-04-26;2;2018-04-26;2018-04-27;NPD;Organization;-1;1;www.welt.de;NPD;NPD;0.39602;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;4945a01c-ab1d-460c-ba06-e60f73643de9;2018-04-24;https://www.welt.de/newsticker/dpa_nt/infoline_nt/schlaglichter_nt/article175871481/Der-Bundestag-will-die-NPD-finanziell-austrocknen.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;FDP;Organization;-1;2;www.welt.de;FDP;FDP;0.0382923;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;0.0;b8ed4683-b714-4631-a8a4-1523279f3bea;2018-04-24;https://www.welt.de/regionales/hessen/article175843033/Nein-zu-NPD-Treffen-in-Wetzlar-Beuth-wirbt-um-Verstaendnis.html;478.0;neutral
2018-04-26;1;2018-04-26;2018-04-27;CDU;Organization;-1;2;www.welt.de;CDU;CDU;0.276254;98f54eae-fba9-4fd4-82b4-86539af951fe;party name;NPD;-0.666748;a58e50ea-c367-463d-b04e-39edf5b2d215;2018-04-24;https://www.welt.de/regionales/hessen/article175843033/Nein-zu-NPD-Treffen-in-Wetzlar-Beuth-wirbt-um-Verstaendnis.html;478.0;negative
2018-04-26;1;2018-04-26;2018-04-27;SPD;Organization;-1;2;www.neues-deutschland.de;SPD;SPD;0.0910164;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;21bd9332-595d-4a66-977a-235d76a44f21;2018-04-26;https://www.neues-deutschland.de/artikel/1086671.massnahmen-gegen-rechtsradikalismus-npd-blueht-finanzielle-trockenlegung.html;478.0;neutral
2018-04-26;12;2018-04-26;2018-04-27;NPD;Organization;-1;1;www.neues-deutschland.de;NPD;NPD;0.910964;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;15cc3d5d-930c-49e7-bef5-5d86eafb6e2d;2018-04-26;https://www.neues-deutschland.de/tag/NPD;478.0;neutral
2018-04-26;5;2018-04-26;2018-04-27;AfD;Organization;-1;2;www.neues-deutschland.de;AfD;AfD;0.487473;8495a217-76bc-4ac0-9822-fbc4f8ddf3f8;party name;NPD;0.0;29c17e5b-a77f-4bc3-8dae-e6a74c354cc8;2018-04-26;https://www.neues-deutschland.de/tag/NPD;478.0;neutral
